,id,questions,questions_perturbed,similarity_scores
0,40369,Was kann den Verschleiß des seillosen Aufzuges minimieren?,Was k ann den Verschleiß des seillosen Aufzuges minimieren?,0.9857032
1,40370,In welcher deutschen Stadt wird der seillose Aufzug getestet?,In welcher deutschen Stadt wird d er seillose Aufzug getestet?,0.9899042
2,40366,Wo wurde ein seilloser Aufzug entwickelt?,Wo wurde e in seilloser Aufzug entwickelt?,0.97485214
3,40367,Wie funktioniert ein seilloser Aufzug?,W ie funktioniert ein seilloser Aufzug?,0.98079455
4,40368,Wann muss man die Zieletage in seillosen Aufzügen auswählen? ,Wann muss man die Zieletage in seillosen A ufzügen auswählen? ,0.99071485
5,40372,Was wird in Sichuan angebaut?,W as wird in Sichuan angebaut?,0.98342544
6,40373,Welches für den Export bestimmte Produkt wird in Sichuan produziert?,Welches für den Ex port bestimmte Produkt wird in Sichuan produziert?,0.99066937
7,40374,Was wird in den Gebirgen von Sichuan gezüchtet?,Was wird in den Gebirgen v on Sichuan gezüchtet?,0.9889767
8,40375,Welche tierische Produkte werden in Sichuan produziert?,Welche tierische Produkte werden in Si chuan produziert?,0.9925681
9,40376,"Was passiert, wenn die Polarisation einer Empfangs- und Sendeantenne nicht übereinstimmen?","Was passiert, wenn die Polarisation einer Empfangs- und Sendeantenne nicht übereinstimm en?",0.99624443
10,40377,Was wird von Antennen abgestrahlt?,Was wird von Antennen abgestr ahlt?,0.96883136
11,40378,Wie bewegt sich der elektrische Feldvektor einer Antenne?,Wie bewegt sich d er elektrische Feldvektor einer Antenne?,0.9859329
12,40379,Was ist eine Wendelantenne?,Was ist e ine Wendelantenne?,0.97960263
13,40436,Was ist das Hauptziel von Softwaretest?,Was i st das Hauptziel von Softwaretest?,0.9842161
14,40437,Wozu tragen die Ergebnisse von Softwaretests bei?,Wozu tragen d ie Ergebnisse von Softwaretests bei?,0.98767334
15,40477,Warum konnte man die Tuberkulose bis zum 19. Jahrhundert von anderen ähnlichen Krankheiten nicht unterscheiden?,Warum konnte m an die Tuberkulose bis zum 19. Jahrhundert von anderen ähnlichen Krankheiten nicht unterscheiden?,0.9907036
16,40479,"Wer hat erfahren, dass die Tuberkulose nicht nur Lungen beschädigen kann, sondern auch andere Organe?","Wer hat erfahren, dass die Tuberkulose nicht nur Lungen beschädigen kann, sondern au ch andere Organe?",0.9968682
17,40481,Wie war die Tuberkulose im 19. Jahrhundert behandelt?,W ie war die Tuberkulose im 19. Jahrhundert behandelt?,0.98127604
18,40482,Wann wurde das erste Tuberkulose- Sanatorium gegründet?,Wann wurde das e rste Tuberkulose- Sanatorium gegründet?,0.9911755
19,40487,"Wie hat man am Ende des 19. Jahrhundert in Großbritannien versucht, die Tuberkulose zu bekämpfen?","Wie hat man am Ende d es 19. Jahrhundert in Großbritannien versucht, die Tuberkulose zu bekämpfen?",0.9963648
20,40488,Was bedeutet die Pneumothorax-Technik bzw. Pneumolyse?,Was bedeutet die Pneumothorax-Tec hnik bzw. Pneumolyse?,0.9922561
21,40489,Wer hat zuerst die Resektion der Lungenabschnitte bei Tuberkulose ausgeführt?,W er hat zuerst die Resektion der Lungenabschnitte bei Tuberkulose ausgeführt?,0.9841547
22,40490,"Wer hat das Bakterium, das die Tuberkulose auslöst, zuerst beschrieben?","Wer hat das Bakterium, das die Tuberkulose auslöst, z uerst beschrieben?",0.99071944
23,40491,Welchen Preis gewann Robert Koch für die Entdeckung des Erregers von Tuberkulose?,Welchen Preis gewann Robert Koch für d ie Entdeckung des Erregers von Tuberkulose?,0.9967708
24,40492,Was führte zur Entwicklung des ersten Tuberkulose-Testes?,Was führte zur Entwicklung d es ersten Tuberkulose-Testes?,0.9868585
25,40493,Welche Diät kann bei der Behandlung der Hauttuberkulose helfen?,Welche Diät kann b ei der Behandlung der Hauttuberkulose helfen?,0.98119706
26,40498,Wo spielte der FC Barcelona bei dessen Gründung?,Wo sp ielte der FC Barcelona bei dessen Gründung?,0.9698316
27,40499,Was war das erste Stadion des FC Barcelona?,Was war das erste Stadion des FC Bar celona?,0.98542917
28,40500,Wo fand das erste Spiel des FC Barcelona statt?,Wo f and das erste Spiel des FC Barcelona statt?,0.9787762
29,40501,Was war die erste Spielstätte des FC Barcelona?,Was war die erste Spielstätte des FC B arcelona?,0.9932416
30,40502,Wie viele Fans passten in das erste Stadion des FC Bareclona?,Wie viele Fans passten in das erste Sta dion des FC Bareclona?,0.9922658
31,40503,Wie lange dauerte der Bau des Camp de Les Corts,Wie lange dauerte der Bau des Camp de L es Corts,0.99230385
32,40511,In welchem weiteren Museums Haus hat Frida Kahlo abgesehen Vom Museo Frida Kahlo gewohnt?,In welchem weiteren Mus eums Haus hat Frida Kahlo abgesehen Vom Museo Frida Kahlo gewohnt?,0.9917786
33,40506,Wo in Mexiko-Stadt ist das Museo Frida Kahlo?,Wo in Mexiko-Stadt i st das Museo Frida Kahlo?,0.9951618
34,40507,Welche Farbe hat das Museo Frida Kahlo?,Welche Farbe hat das Museo Fr ida Kahlo?,0.99275583
35,40509,In welchem Stil ist das Museo Frida Kahlo gebaut?,In welchem S til ist das Museo Frida Kahlo gebaut?,0.9874817
36,40510,Mit wem war Frida Kahlo verheiratet?,Mit wem war Frida Kah lo verheiratet?,0.99464995
37,40535,Was waren die Hauptprobleme der Aggregat-4 Rakete?,Was w aren die Hauptprobleme der Aggregat-4 Rakete?,0.9857399
38,40540,Wer ist der größte Rosinen Exporteur der Welt?,Wer ist der größte Rosin en Exporteur der Welt?,0.9924959
39,40541,Welches Land ist der größte Safran Exporteur?,Welches La nd ist der größte Safran Exporteur?,0.9827465
40,40542,Wie viel Prozent des Irans werden für die Landwirtschaft benutzt?,W ie viel Prozent des Irans werden für die Landwirtschaft benutzt?,0.9896032
41,36767,Was tauschen Bakterien mit Sexpili untereinander aus?,Was tauschen Bakterien mit Sexpili untereinander a us?,0.98509884
42,36768,Wie können Bakterien auch ohne Sexpili DNA untereinander austauschen?,Wie können Bakterien auch ohne Sexp ili DNA untereinander austauschen?,0.99546707
43,36789,Wie viele schwarze Menschen leben in Frankreich?,Wie viele s chwarze Menschen leben in Frankreich?,0.9681146
44,36790,Woher kommen die meisten Schwarzen Frankreichs?,Woher kom men die meisten Schwarzen Frankreichs?,0.9794522
45,36798,Warum gab es in der französischen Regierung oft schwarze Minister?,Warum gab es in der französisch en Regierung oft schwarze Minister?,0.9950707
