,id,questions,questions_perturbed,similarity_scores
0,40369,Was kann den Verschleiß des seillosen Aufzuges minimieren?,Was  den Verschleiß des seillosen Aufzuges minimieren?,0.95597184
1,40370,In welcher deutschen Stadt wird der seillose Aufzug getestet?,In  deutschen Stadt wird der seillose Aufzug getestet?,0.950521
2,40366,Wo wurde ein seilloser Aufzug entwickelt?,Wo wurde ein  Aufzug entwickelt?,0.9005148
3,40367,Wie funktioniert ein seilloser Aufzug?,Wie  ein seilloser Aufzug?,0.86805475
4,40368,Wann muss man die Zieletage in seillosen Aufzügen auswählen? ,Wann muss man  Zieletage in seillosen Aufzügen auswählen? ,0.99214154
5,40372,Was wird in Sichuan angebaut?,Was  in Sichuan angebaut?,0.9460342
6,40373,Welches für den Export bestimmte Produkt wird in Sichuan produziert?,Welches  den Export bestimmte Produkt wird in Sichuan produziert?,0.98116845
7,40374,Was wird in den Gebirgen von Sichuan gezüchtet?,Was wird in den Gebirgen von  gezüchtet?,0.88925934
8,40375,Welche tierische Produkte werden in Sichuan produziert?,Welche tierische Produkte werden in Sichuan ?,0.98338884
9,40376,"Was passiert, wenn die Polarisation einer Empfangs- und Sendeantenne nicht übereinstimmen?","Was passiert, wenn die Polarisation einer Empfangs- und  nicht übereinstimmen?",0.92150545
10,40377,Was wird von Antennen abgestrahlt?, wird von Antennen abgestrahlt?,0.9105511
11,40378,Wie bewegt sich der elektrische Feldvektor einer Antenne?,Wie bewegt sich der elektrische Feldvektor  Antenne?,0.97711396
12,40379,Was ist eine Wendelantenne?, ist eine Wendelantenne?,0.9290991
13,40436,Was ist das Hauptziel von Softwaretest?, ist das Hauptziel von Softwaretest?,0.9658386
14,40437,Wozu tragen die Ergebnisse von Softwaretests bei?, tragen die Ergebnisse von Softwaretests bei?,0.9390323
15,40477,Warum konnte man die Tuberkulose bis zum 19. Jahrhundert von anderen ähnlichen Krankheiten nicht unterscheiden?,Warum konnte man  Tuberkulose bis zum 19. Jahrhundert von anderen ähnlichen Krankheiten nicht unterscheiden?,0.9965333
