Perturbation,electra-base-de-squad2,bert-multi-english-german-squad2,xlm-roberta-base-squad2,gelectra-base-germanquad
NONE,55.31,52.45,48.63,57.03
DRC,53.89,51.22,48.74,55.36
DRQ,48.96,46.41,44.19,50.67
DVC,55.36,52.45,49.95,56.36
DVQ,52.09,48.37,46.82,52.27
RepeatRC,53.98,51.45,49.29,55.45
RepeatRQ,55.67,52.15,50.3,57.39
RepeatVC,55.5,52.59,50.18,56.4
RepeatVQ,54.76,52.4,50,57.26
ReplaceRC,58.69,54.34,52.98,59.63
ReplaceRQ,50.27,47.94,45.75,52.06
SplitRC,53.63,50.96,49.31,55.56
SplitRQ,51.39,49.68,47.17,53.61
SplitVC,54.81,51.59,50.09,57.03
SplitVQ,51.5,48.87,47.91,53.99
SwapRC,52.33,49.47,47.21,53.3
SwapRQ,52.81,47.97,44.42,53.27
