,id,questions,questions_perturbed,similarity_scores
0,40369,Was kann den Verschleiß des seillosen Aufzuges minimieren?,Was k ann den Verschleiß des seillosen Aufzuges minimieren?,0.935683
1,40370,In welcher deutschen Stadt wird der seillose Aufzug getestet?,In welcher deutschen Stadt wird d er seillose Aufzug getestet?,0.9611231
2,40366,Wo wurde ein seilloser Aufzug entwickelt?,Wo wurde e in seilloser Aufzug entwickelt?,0.905952
3,40367,Wie funktioniert ein seilloser Aufzug?,W ie funktioniert ein seilloser Aufzug?,0.9218011
4,40368,Wann muss man die Zieletage in seillosen Aufzügen auswählen? ,Wann muss man die Zieletage in seillosen A ufzügen auswählen? ,0.95835096
5,40372,Was wird in Sichuan angebaut?,W as wird in Sichuan angebaut?,0.91924477
6,40373,Welches für den Export bestimmte Produkt wird in Sichuan produziert?,Welches für den Ex port bestimmte Produkt wird in Sichuan produziert?,0.9435778
7,40374,Was wird in den Gebirgen von Sichuan gezüchtet?,Was wird in den Gebirgen v on Sichuan gezüchtet?,0.96182585
8,40375,Welche tierische Produkte werden in Sichuan produziert?,Welche tierische Produkte werden in Si chuan produziert?,0.93400615
9,40376,"Was passiert, wenn die Polarisation einer Empfangs- und Sendeantenne nicht übereinstimmen?","Was passiert, wenn die Polarisation einer Empfangs- und Sendeantenne nicht übereinstimm en?",0.96177554
10,40377,Was wird von Antennen abgestrahlt?,Was wird von Antennen abgestr ahlt?,0.9118953
11,40378,Wie bewegt sich der elektrische Feldvektor einer Antenne?,Wie bewegt sich d er elektrische Feldvektor einer Antenne?,0.9653105
12,40379,Was ist eine Wendelantenne?,Was ist e ine Wendelantenne?,0.8807665
13,40436,Was ist das Hauptziel von Softwaretest?,Was i st das Hauptziel von Softwaretest?,0.9257524
14,40437,Wozu tragen die Ergebnisse von Softwaretests bei?,Wozu tragen d ie Ergebnisse von Softwaretests bei?,0.9570329
15,40477,Warum konnte man die Tuberkulose bis zum 19. Jahrhundert von anderen ähnlichen Krankheiten nicht unterscheiden?,Warum konnte m an die Tuberkulose bis zum 19. Jahrhundert von anderen ähnlichen Krankheiten nicht unterscheiden?,0.95985836
16,40479,"Wer hat erfahren, dass die Tuberkulose nicht nur Lungen beschädigen kann, sondern auch andere Organe?","Wer hat erfahren, dass die Tuberkulose nicht nur Lungen beschädigen kann, sondern au ch andere Organe?",0.97530437
17,40481,Wie war die Tuberkulose im 19. Jahrhundert behandelt?,W ie war die Tuberkulose im 19. Jahrhundert behandelt?,0.9396559
18,40482,Wann wurde das erste Tuberkulose- Sanatorium gegründet?,Wann wurde das e rste Tuberkulose- Sanatorium gegründet?,0.9319521
19,40487,"Wie hat man am Ende des 19. Jahrhundert in Großbritannien versucht, die Tuberkulose zu bekämpfen?","Wie hat man am Ende d es 19. Jahrhundert in Großbritannien versucht, die Tuberkulose zu bekämpfen?",0.9835129
20,40488,Was bedeutet die Pneumothorax-Technik bzw. Pneumolyse?,Was bedeutet die Pneumothorax-Tec hnik bzw. Pneumolyse?,0.9403802
21,40489,Wer hat zuerst die Resektion der Lungenabschnitte bei Tuberkulose ausgeführt?,W er hat zuerst die Resektion der Lungenabschnitte bei Tuberkulose ausgeführt?,0.98010814
22,40490,"Wer hat das Bakterium, das die Tuberkulose auslöst, zuerst beschrieben?","Wer hat das Bakterium, das die Tuberkulose auslöst, z uerst beschrieben?",0.96050924
23,40491,Welchen Preis gewann Robert Koch für die Entdeckung des Erregers von Tuberkulose?,Welchen Preis gewann Robert Koch für d ie Entdeckung des Erregers von Tuberkulose?,0.98754096
24,40492,Was führte zur Entwicklung des ersten Tuberkulose-Testes?,Was führte zur Entwicklung d es ersten Tuberkulose-Testes?,0.97556245
25,40493,Welche Diät kann bei der Behandlung der Hauttuberkulose helfen?,Welche Diät kann b ei der Behandlung der Hauttuberkulose helfen?,0.97343653
26,40498,Wo spielte der FC Barcelona bei dessen Gründung?,Wo sp ielte der FC Barcelona bei dessen Gründung?,0.88790303
27,40499,Was war das erste Stadion des FC Barcelona?,Was war das erste Stadion des FC Bar celona?,0.91326636
28,40500,Wo fand das erste Spiel des FC Barcelona statt?,Wo f and das erste Spiel des FC Barcelona statt?,0.91162705
29,40501,Was war die erste Spielstätte des FC Barcelona?,Was war die erste Spielstätte des FC B arcelona?,0.86684054
30,40502,Wie viele Fans passten in das erste Stadion des FC Bareclona?,Wie viele Fans passten in das erste Sta dion des FC Bareclona?,0.9427961
31,40503,Wie lange dauerte der Bau des Camp de Les Corts,Wie lange dauerte der Bau des Camp de L es Corts,0.9710207
32,40511,In welchem weiteren Museums Haus hat Frida Kahlo abgesehen Vom Museo Frida Kahlo gewohnt?,In welchem weiteren Mus eums Haus hat Frida Kahlo abgesehen Vom Museo Frida Kahlo gewohnt?,0.976925
33,40506,Wo in Mexiko-Stadt ist das Museo Frida Kahlo?,Wo in Mexiko-Stadt i st das Museo Frida Kahlo?,0.9681121
34,40507,Welche Farbe hat das Museo Frida Kahlo?,Welche Farbe hat das Museo Fr ida Kahlo?,0.83995914
35,40509,In welchem Stil ist das Museo Frida Kahlo gebaut?,In welchem S til ist das Museo Frida Kahlo gebaut?,0.89159083
36,40510,Mit wem war Frida Kahlo verheiratet?,Mit wem war Frida Kah lo verheiratet?,0.9445686
37,40535,Was waren die Hauptprobleme der Aggregat-4 Rakete?,Was w aren die Hauptprobleme der Aggregat-4 Rakete?,0.94418913
38,40540,Wer ist der größte Rosinen Exporteur der Welt?,Wer ist der größte Rosin en Exporteur der Welt?,0.9742725
39,40541,Welches Land ist der größte Safran Exporteur?,Welches La nd ist der größte Safran Exporteur?,0.8451593
40,40542,Wie viel Prozent des Irans werden für die Landwirtschaft benutzt?,W ie viel Prozent des Irans werden für die Landwirtschaft benutzt?,0.9651153
41,36767,Was tauschen Bakterien mit Sexpili untereinander aus?,Was tauschen Bakterien mit Sexpili untereinander a us?,0.9633074
42,36768,Wie können Bakterien auch ohne Sexpili DNA untereinander austauschen?,Wie können Bakterien auch ohne Sexp ili DNA untereinander austauschen?,0.9850196
43,36789,Wie viele schwarze Menschen leben in Frankreich?,Wie viele s chwarze Menschen leben in Frankreich?,0.9082172
44,36790,Woher kommen die meisten Schwarzen Frankreichs?,Woher kom men die meisten Schwarzen Frankreichs?,0.9567141
45,36798,Warum gab es in der französischen Regierung oft schwarze Minister?,Warum gab es in der französisch en Regierung oft schwarze Minister?,0.9606512
46,36799,Wo leben die meisten schwarzen in Frankreich?,Wo leben die meisten schw arzen in Frankreich?,0.83482426
47,36800,Warum sind Schwarze aus Überseegebieten in Frankreich tendenziell besser integriert als Schwarze aus Schwarzafrika?,Warum sind Schw arze aus Überseegebieten in Frankreich tendenziell besser integriert als Schw arze aus Schwarzafrika?,0.9522414
48,36801,Wie viele Schwarze waren in der Fußballnationalmannschaft Frankreichs bei der WM 2006?,Wie viele Sch warze waren in der Fußballnationalmannschaft Frankreichs bei der WM 2006?,0.95943844
49,36802,Wer wurde 2005 als schwarze Frau Ministerin in Frankreich?,Wer wurde 2 005 als schwarze Frau Ministerin in Frankreich?,0.95472634
50,41037,Was ist die beste Schweizer Fußball Liga?,Was ist die beste Schweizer Fußba ll Liga?,0.95438427
51,41044,Was ist der größte Leichtathletik Verein der Schweiz?,Was ist der größte Leichtathlet ik Verein der Schweiz?,0.9628975
52,37175,In welcher Eritreischen Stadt Produziert Tesinma Busse?,In welcher Eritreischen Stadt Produziert Tesi nma Busse?,0.98728365
53,41049,Welche Voraussetzung muss der Staatspräsident von Zypern erfüllen?,Welche Voraussetzung muss der Staatspräsident von Zyp ern erfüllen?,0.94800717
54,41047,Wer ist das Staatsoberhaupt von Zypern?,Wer i st das Staatsoberhaupt von Zypern?,0.95133996
