Perturbation,electra-base-de-squad2,bert-multi-english-german-squad2,xlm-roberta-base-squad2,gelectra-base-germanquad
NONE,55.31,52.45,48.63,57.03
DRC,52.29,49.84,47.39,53.11
DRQ,33.3,30.08,27.81,32.03
DVC,55.4,52.68,50,57.58
DVQ,50,45.35,42.41,50.06
RepeatRC,51.72,49.09,47.01,52.31
RepeatRQ,55.63,51.77,49.18,56.67
RepeatVC,55.72,52.22,50.27,56.81
RepeatVQ,54.6,52.27,49.34,56.64
SplitRC,51.45,48.23,46.6,51.81
SplitRQ,39.11,38.61,39.38,41.52
SplitVC,54.13,52.13,49.82,56.85
SplitVQ,49.28,46.79,45.96,52.38
