,id,questions,questions_perturbed,similarity_scores
0,40369,Was kann den Verschleiß des seillosen Aufzuges minimieren?,Was k ann den Verschleiß des seillosen Aufzuges minimieren?,0.935683
1,40370,In welcher deutschen Stadt wird der seillose Aufzug getestet?,In welcher deutschen Stadt wird der seillose Aufzug ge testet?,0.98549104
2,40366,Wo wurde ein seilloser Aufzug entwickelt?,Wo w urde ein seilloser Aufzug entwickelt?,0.9142008
3,40367,Wie funktioniert ein seilloser Aufzug?,Wie funktioni ert ein seilloser Aufzug?,0.9640617
4,40368,Wann muss man die Zieletage in seillosen Aufzügen auswählen? ,Wann mu ss man die Zieletage in seillosen Aufzügen auswählen? ,0.9749404
5,40372,Was wird in Sichuan angebaut?,Was w ird in Sichuan angebaut?,0.8448183
6,40373,Welches für den Export bestimmte Produkt wird in Sichuan produziert?,Welches für den Export bestimmte Produkt w ird in Sichuan produziert?,0.92875004
7,40374,Was wird in den Gebirgen von Sichuan gezüchtet?,Was w ird in den Gebirgen von Sichuan gezüchtet?,0.88168144
8,40375,Welche tierische Produkte werden in Sichuan produziert?,Welche tierische Produkte werd en in Sichuan produziert?,0.94434434
9,40376,"Was passiert, wenn die Polarisation einer Empfangs- und Sendeantenne nicht übereinstimmen?","Was pass iert, wenn die Polarisation einer Empfangs- und Sendeantenne nicht übereinstimmen?",0.9719994
10,40377,Was wird von Antennen abgestrahlt?,Was wird von Antennen a bgestrahlt?,0.93525636
11,40378,Wie bewegt sich der elektrische Feldvektor einer Antenne?,Wie bewe gt sich der elektrische Feldvektor einer Antenne?,0.8977208
12,40379,Was ist eine Wendelantenne?,Was i st eine Wendelantenne?,0.89233285
13,40436,Was ist das Hauptziel von Softwaretest?,Was i st das Hauptziel von Softwaretest?,0.9257524
14,40437,Wozu tragen die Ergebnisse von Softwaretests bei?,Wozu t ragen die Ergebnisse von Softwaretests bei?,0.8036315
15,40477,Warum konnte man die Tuberkulose bis zum 19. Jahrhundert von anderen ähnlichen Krankheiten nicht unterscheiden?,Warum konn te man die Tuberkulose bis zum 19. Jahrhundert von anderen ähnlichen Krankheiten nicht unterscheiden?,0.9632605
16,40479,"Wer hat erfahren, dass die Tuberkulose nicht nur Lungen beschädigen kann, sondern auch andere Organe?","Wer h at erfahren, dass die Tuberkulose nicht nur Lungen beschädigen kann, sondern auch andere Organe?",0.9831418
17,40481,Wie war die Tuberkulose im 19. Jahrhundert behandelt?,Wie war die Tuberkulose im 19. Jahrhundert behan delt?,0.93765765
18,40482,Wann wurde das erste Tuberkulose- Sanatorium gegründet?,Wann wurde das erste Tuberkulose- Sanatorium gegründ et?,0.8938088
19,40487,"Wie hat man am Ende des 19. Jahrhundert in Großbritannien versucht, die Tuberkulose zu bekämpfen?","Wie h at man am Ende des 19. Jahrhundert in Großbritannien versucht, die Tuberkulose zu bekämpfen?",0.9654747
20,40488,Was bedeutet die Pneumothorax-Technik bzw. Pneumolyse?,Was bede utet die Pneumothorax-Technik bzw. Pneumolyse?,0.9427777
21,40489,Wer hat zuerst die Resektion der Lungenabschnitte bei Tuberkulose ausgeführt?,Wer h at zuerst die Resektion der Lungenabschnitte bei Tuberkulose ausgeführt?,0.9648581
22,40490,"Wer hat das Bakterium, das die Tuberkulose auslöst, zuerst beschrieben?","Wer hat das Bakterium, das die Tuberkulose auslöst, zuerst beschr ieben?",0.9069985
23,40491,Welchen Preis gewann Robert Koch für die Entdeckung des Erregers von Tuberkulose?,Welchen Preis g ewann Robert Koch für die Entdeckung des Erregers von Tuberkulose?,0.9567359
24,40492,Was führte zur Entwicklung des ersten Tuberkulose-Testes?,Was fü hrte zur Entwicklung des ersten Tuberkulose-Testes?,0.8874477
25,40493,Welche Diät kann bei der Behandlung der Hauttuberkulose helfen?,Welche Diät kann bei der Behandlung der Hauttuberkulose h elfen?,0.91389626
26,40498,Wo spielte der FC Barcelona bei dessen Gründung?,Wo s pielte der FC Barcelona bei dessen Gründung?,0.8532375
27,40499,Was war das erste Stadion des FC Barcelona?,Was w ar das erste Stadion des FC Barcelona?,0.9267209
28,40500,Wo fand das erste Spiel des FC Barcelona statt?,Wo fa nd das erste Spiel des FC Barcelona statt?,0.9261276
29,40501,Was war die erste Spielstätte des FC Barcelona?,Was w ar die erste Spielstätte des FC Barcelona?,0.9325305
30,40502,Wie viele Fans passten in das erste Stadion des FC Bareclona?,Wie viele Fans pa ssten in das erste Stadion des FC Bareclona?,0.9659832
31,40503,Wie lange dauerte der Bau des Camp de Les Corts,Wie lange d auerte der Bau des Camp de Les Corts,0.95365155
32,40511,In welchem weiteren Museums Haus hat Frida Kahlo abgesehen Vom Museo Frida Kahlo gewohnt?,In welchem weiteren Museums Haus hat Frida Kahlo abgesehen Vom Museo Frida Kahlo ge wohnt?,0.9903348
33,40506,Wo in Mexiko-Stadt ist das Museo Frida Kahlo?,Wo in Mexiko-Stadt i st das Museo Frida Kahlo?,0.9681121
34,40507,Welche Farbe hat das Museo Frida Kahlo?,Welche Farbe h at das Museo Frida Kahlo?,0.94320863
35,40509,In welchem Stil ist das Museo Frida Kahlo gebaut?,In welchem Stil ist das Museo Frida Kahlo ge baut?,0.96674377
36,40510,Mit wem war Frida Kahlo verheiratet?,Mit wem w ar Frida Kahlo verheiratet?,0.9413455
37,40535,Was waren die Hauptprobleme der Aggregat-4 Rakete?,Was w aren die Hauptprobleme der Aggregat-4 Rakete?,0.94418913
38,40536,Was waren die Hauptmotive für den Wettlauf ins All?,Was wa ren die Hauptmotive für den Wettlauf ins All?,0.91057736
39,40540,Wer ist der größte Rosinen Exporteur der Welt?,Wer i st der größte Rosinen Exporteur der Welt?,0.93756235
40,40541,Welches Land ist der größte Safran Exporteur?,Welches Land i st der größte Safran Exporteur?,0.9488103
41,40542,Wie viel Prozent des Irans werden für die Landwirtschaft benutzt?,Wie viel Prozent des Irans werd en für die Landwirtschaft benutzt?,0.9691858
42,36767,Was tauschen Bakterien mit Sexpili untereinander aus?,Was tausch en Bakterien mit Sexpili untereinander aus?,0.96775466
43,36768,Wie können Bakterien auch ohne Sexpili DNA untereinander austauschen?,Wie können Bakterien auch ohne Sexpili DNA untereinander aus tauschen?,0.9708312
44,36789,Wie viele schwarze Menschen leben in Frankreich?,Wie viele schwarze Menschen l eben in Frankreich?,0.9433237
45,36790,Woher kommen die meisten Schwarzen Frankreichs?,Woher kom men die meisten Schwarzen Frankreichs?,0.9567141
46,36798,Warum gab es in der französischen Regierung oft schwarze Minister?,Warum g ab es in der französischen Regierung oft schwarze Minister?,0.9192094
47,36799,Wo leben die meisten schwarzen in Frankreich?,Wo l eben die meisten schwarzen in Frankreich?,0.9092636
48,36800,Warum sind Schwarze aus Überseegebieten in Frankreich tendenziell besser integriert als Schwarze aus Schwarzafrika?,Warum si nd Schwarze aus Überseegebieten in Frankreich tendenziell besser integriert als Schwarze aus Schwarzafrika?,0.9735571
49,36801,Wie viele Schwarze waren in der Fußballnationalmannschaft Frankreichs bei der WM 2006?,Wie viele Schwarze w aren in der Fußballnationalmannschaft Frankreichs bei der WM 2006?,0.9687504
50,36802,Wer wurde 2005 als schwarze Frau Ministerin in Frankreich?,Wer w urde 2005 als schwarze Frau Ministerin in Frankreich?,0.9393398
51,41037,Was ist die beste Schweizer Fußball Liga?,Was i st die beste Schweizer Fußball Liga?,0.9344361
52,41044,Was ist der größte Leichtathletik Verein der Schweiz?,Was i st der größte Leichtathletik Verein der Schweiz?,0.9152057
53,37175,In welcher Eritreischen Stadt Produziert Tesinma Busse?,In welcher Eritreischen Stadt Produzie rt Tesinma Busse?,0.9752358
54,41049,Welche Voraussetzung muss der Staatspräsident von Zypern erfüllen?,Welche Voraussetzung muss der Staatspräsident von Zypern erfül len?,0.97010916
55,41047,Wer ist das Staatsoberhaupt von Zypern?,Wer i st das Staatsoberhaupt von Zypern?,0.95133996
56,41051,Wie lange ist die Amtsperiode des zypriotischen Staatspräsidenten?,Wie lange i st die Amtsperiode des zypriotischen Staatspräsidenten?,0.97745085
57,41052,Seit wann die ist das Amt des stellvertretenden Staatspräsidenten unbesetzt?,Seit wann die i st das Amt des stellvertretenden Staatspräsidenten unbesetzt?,0.9580622
58,41053,Als was bezeichnete der Demokratieindex Zypern 2019?,Als was bez eichnete der Demokratieindex Zypern 2019?,0.9149114
59,41054,Wie heißt die große kommunistische Partei in Zypern?,Wie h eißt die große kommunistische Partei in Zypern?,0.8883517
60,41055,Wie viele Sitze gibt es im Parlament von zypern?,Wie viele Sitze g ibt es im Parlament von zypern?,0.95721745
61,41056,In welchen Ländern gibt es die Sommerzeit?,In welchen Ländern gi bt es die Sommerzeit?,0.947398
62,41046,In welcher Jahreszeit wird auf die Sommerzeit umgestellt?,In welcher Jahreszeit w ird auf die Sommerzeit umgestellt?,0.9471052
63,41057,Wann beginnt die Sommerzeit?,Wann be ginnt die Sommerzeit?,0.91254103
64,41067,Woher kommt der Begriff Pestizid?,Woher kom mt der Begriff Pestizid?,0.93075126
65,41105,Von welchem Land ist die Kultur der Tristan da Cunha Inseln stark beeinflusst?,Von welchem Land i st die Kultur der Tristan da Cunha Inseln stark beeinflusst?,0.9503625
66,41107,Wie viel Alkohol trinken die Bewohner der Inseln Tristan da Cunhas?,Wie viel Alkohol t rinken die Bewohner der Inseln Tristan da Cunhas?,0.97165084
67,41111,Wie viele polnische Spielfilme über Chopin gibt es?,Wie viele polnische Spielfilme über Chopin gi bt es?,0.95410585
68,41115,Was sind die wichtigsten Abschnitt Maßeinheits Größen des Korans?,Was s ind die wichtigsten Abschnitt Maßeinheits Größen des Korans?,0.9557221
69,41116,Wofür ist die Einteilung des Korans in den Dschuz besonders praktisch?,Wofür i st die Einteilung des Korans in den Dschuz besonders praktisch?,0.96973675
70,41117,Wofür wird die Einteilung des Korans in 30 Teile beim Ramadan benutzt?,Wofür wi rd die Einteilung des Korans in 30 Teile beim Ramadan benutzt?,0.9570006
71,41118,An was erkennt man die einzelnen Unterteilungen des Korans?,An was erken nt man die einzelnen Unterteilungen des Korans?,0.9746934
72,41119,Was wird für die MP3 Kompression benutzt?,Was w ird für die MP3 Kompression benutzt?,0.88114274
