Perturbation,electra-base-de-squad2,bert-multi-english-german-squad2,xlm-roberta-base-squad2,gelectra-base-germanquad
NONE,71.06,68.03,66.31,72.17
IPC,70.59,68.08,66.29,71.96
IPQ,56.93,55.23,58.42,60.84
DCVC,70.89,68.05,65.92,72
DCVQ,66.72,63.51,61.55,68.45
DCRC,70.47,66.78,64.96,71.67
DCRQ,64.8,63.67,60.53,67.74
ICVC,70.87,68.18,65.2,72.29
ICVQ,66.98,64.62,61.48,68.48
ICRC,69.64,66.59,65.28,71.27
ICRQ,65.46,64.27,61.27,67.36
RepeatCVC,70.92,67.51,66.1,72.09
RepeatCVQ,67.26,64.76,62.77,68.73
RepeatCRC,70.55,67.55,65.53,71.39
RepeatCRQ,66.07,64.14,62.39,67.92
ReplaceCVC,71.01,68.13,66.02,71.95
ReplaceCVQ,66.4,64.26,62.08,68.29
ReplaceCRC,70.29,67.01,65.1,71.31
ReplaceCRQ,64.35,62.8,61.15,67.66
SCVC,70.92,67.76,66.16,72.04
SCVQ,67.12,64.25,62.31,68.82
SCRC,70.36,67.08,65.54,71.33
SCRQ,65.58,64.16,62.38,67.22
