Perturbation,electra-base-de-squad2,bert-multi-english-german-squad2,xlm-roberta-base-squad2,gelectra-base-germanquad
NONE,55.31,52.45,48.63,57.03
IPC,54.67,52.36,49.64,56.67
IPQ,42.97,42.06,44.42,45.96
DCVC,54.76,52,49.59,56.13
DCVQ,50.86,47.78,46.23,52.86
DCRC,53.53,50.43,48.16,55.53
DCRQ,49.93,48.52,45.52,52.61
ICVC,54.95,52.22,49.36,56.99
ICVQ,50.91,49.36,46.23,53.68
ICRC,53,50.27,48.59,55.1
ICRQ,50.07,48.25,46.07,52.29
RepeatCVC,55.35,52.04,50.14,56.85
RepeatCVQ,51,49,47.32,53.99
RepeatCRC,54.25,51.75,49.43,55.75
RepeatCRQ,50.39,48.21,46.66,52.89
ReplaceCVC,54.99,52.31,50.27,56.62
ReplaceCVQ,51.13,48.55,46.55,53.22
ReplaceCRC,53.37,50.64,48.45,55.61
ReplaceCRQ,48.73,48.05,45.69,52.82
SCVC,54.95,51.86,50.14,57.08
SCVQ,51.36,48.68,47.1,53.77
SCRC,53.53,50.57,48.79,54.95
SCRQ,50.5,49,46.82,52.45
