,id,questions,questions_perturbed,similarity_scores
0,40369,Was kann den Verschleiß des seillosen Aufzuges minimieren?,Was soll den Verschleiß des seillosen Aufzuges minimieren?,0.99858654
1,40370,In welcher deutschen Stadt wird der seillose Aufzug getestet?,In welcher deutschen Stadt wurde der seillose Aufzug getestet?,0.9987185
2,40366,Wo wurde ein seilloser Aufzug entwickelt?,Wo wurde ein seilloser Aufzug hergestellt?,0.9970777
3,40367,Wie funktioniert ein seilloser Aufzug?,Wie entsteht ein seilloser Aufzug?,0.9934547
4,40368,Wann muss man die Zieletage in seillosen Aufzügen auswählen? ,Wann kann man die Zieletage in seillosen Aufzügen auswählen?,0.9979142
5,40372,Was wird in Sichuan angebaut?,Was wurde in Sichuan angebaut?,0.99706364
6,40373,Welches für den Export bestimmte Produkt wird in Sichuan produziert?,Welches für den Export bestimmte Produkt wurde in Sichuan produziert?,0.99782103
7,40374,Was wird in den Gebirgen von Sichuan gezüchtet?,Was wurde in den Gebirgen von Sichuan gezüchtet?,0.9984082
8,40375,Welche tierische Produkte werden in Sichuan produziert?,Welche tierische Produkte werden in Sichuan hergestellt?,0.99927616
9,40376,"Was passiert, wenn die Polarisation einer Empfangs- und Sendeantenne nicht übereinstimmen?","Was geschieht, wenn die Polarisation einer Empfangs- und Sendeantenne nicht übereinstimmen?",0.9994429
10,40377,Was wird von Antennen abgestrahlt?,Was wurde von Antennen abgestrahlt?,0.9976684
11,40378,Wie bewegt sich der elektrische Feldvektor einer Antenne?,Wie entwickelt sich der elektrische Feldvektor einer Antenne?,0.99758583
12,40379,Was ist eine Wendelantenne?,Was für eine Wendelantenne?,0.9898312
13,40436,Was ist das Hauptziel von Softwaretest?,Was war das Hauptziel von Softwaretest?,0.9967747
14,40437,Wozu tragen die Ergebnisse von Softwaretests bei?,Wozu dragen die Ergebnisse von Softwaretests bei?,0.99180365
15,40477,Warum konnte man die Tuberkulose bis zum 19. Jahrhundert von anderen ähnlichen Krankheiten nicht unterscheiden?,Warum kann man die Tuberkulose bis zum 19. Jahrhundert von anderen ähnlichen Krankheiten nicht unterscheiden?,0.9980737
