,id,questions,questions_perturbed,similarity_scores
0,40369,Was kann den Verschleiß des seillosen Aufzuges minimieren?,Was k ann den Verschleiß des seillosen Aufzuges minimieren?,0.99426717
1,40370,In welcher deutschen Stadt wird der seillose Aufzug getestet?,In welcher deutschen Stadt wird d er seillose Aufzug getestet?,0.99726135
2,40366,Wo wurde ein seilloser Aufzug entwickelt?,Wo wurde e in seilloser Aufzug entwickelt?,0.9917608
3,40367,Wie funktioniert ein seilloser Aufzug?,W ie funktioniert ein seilloser Aufzug?,0.98937726
4,40368,Wann muss man die Zieletage in seillosen Aufzügen auswählen? ,Wann muss man die Zieletage in seillosen A ufzügen auswählen? ,0.99588263
5,40372,Was wird in Sichuan angebaut?,W as wird in Sichuan angebaut?,0.9922215
6,40373,Welches für den Export bestimmte Produkt wird in Sichuan produziert?,Welches für den Ex port bestimmte Produkt wird in Sichuan produziert?,0.9963332
7,40374,Was wird in den Gebirgen von Sichuan gezüchtet?,Was wird in den Gebirgen v on Sichuan gezüchtet?,0.9974652
8,40375,Welche tierische Produkte werden in Sichuan produziert?,Welche tierische Produkte werden in Si chuan produziert?,0.9968041
9,40376,"Was passiert, wenn die Polarisation einer Empfangs- und Sendeantenne nicht übereinstimmen?","Was passiert, wenn die Polarisation einer Empfangs- und Sendeantenne nicht übereinstimm en?",0.9844217
10,40377,Was wird von Antennen abgestrahlt?,Was wird von Antennen abgestr ahlt?,0.99105775
11,40378,Wie bewegt sich der elektrische Feldvektor einer Antenne?,Wie bewegt sich d er elektrische Feldvektor einer Antenne?,0.9959099
12,40379,Was ist eine Wendelantenne?,Was ist e ine Wendelantenne?,0.9805174
13,40436,Was ist das Hauptziel von Softwaretest?,Was i st das Hauptziel von Softwaretest?,0.99187505
14,40437,Wozu tragen die Ergebnisse von Softwaretests bei?,Wozu tragen d ie Ergebnisse von Softwaretests bei?,0.99432594
15,40477,Warum konnte man die Tuberkulose bis zum 19. Jahrhundert von anderen ähnlichen Krankheiten nicht unterscheiden?,Warum konnte m an die Tuberkulose bis zum 19. Jahrhundert von anderen ähnlichen Krankheiten nicht unterscheiden?,0.9923109
16,40479,"Wer hat erfahren, dass die Tuberkulose nicht nur Lungen beschädigen kann, sondern auch andere Organe?","Wer hat erfahren, dass die Tuberkulose nicht nur Lungen beschädigen kann, sondern au ch andere Organe?",0.9974558
17,40481,Wie war die Tuberkulose im 19. Jahrhundert behandelt?,W ie war die Tuberkulose im 19. Jahrhundert behandelt?,0.990474
18,40482,Wann wurde das erste Tuberkulose- Sanatorium gegründet?,Wann wurde das e rste Tuberkulose- Sanatorium gegründet?,0.99430597
19,40487,"Wie hat man am Ende des 19. Jahrhundert in Großbritannien versucht, die Tuberkulose zu bekämpfen?","Wie hat man am Ende d es 19. Jahrhundert in Großbritannien versucht, die Tuberkulose zu bekämpfen?",0.9972208
20,40488,Was bedeutet die Pneumothorax-Technik bzw. Pneumolyse?,Was bedeutet die Pneumothorax-Tec hnik bzw. Pneumolyse?,0.9970069
21,40489,Wer hat zuerst die Resektion der Lungenabschnitte bei Tuberkulose ausgeführt?,W er hat zuerst die Resektion der Lungenabschnitte bei Tuberkulose ausgeführt?,0.99340475
22,40490,"Wer hat das Bakterium, das die Tuberkulose auslöst, zuerst beschrieben?","Wer hat das Bakterium, das die Tuberkulose auslöst, z uerst beschrieben?",0.9947973
23,40491,Welchen Preis gewann Robert Koch für die Entdeckung des Erregers von Tuberkulose?,Welchen Preis gewann Robert Koch für d ie Entdeckung des Erregers von Tuberkulose?,0.99534726
24,40492,Was führte zur Entwicklung des ersten Tuberkulose-Testes?,Was führte zur Entwicklung d es ersten Tuberkulose-Testes?,0.9936153
25,40493,Welche Diät kann bei der Behandlung der Hauttuberkulose helfen?,Welche Diät kann b ei der Behandlung der Hauttuberkulose helfen?,0.9970228
26,40498,Wo spielte der FC Barcelona bei dessen Gründung?,Wo sp ielte der FC Barcelona bei dessen Gründung?,0.98985654
27,40499,Was war das erste Stadion des FC Barcelona?,Was war das erste Stadion des FC Bar celona?,0.99244833
