,id,questions,questions_perturbed,similarity_scores
0,40369,Was kann den Verschleiß des seillosen Aufzuges minimieren?,Wie kann der Verschleiß des drahtlosen Aufzugs minimiert werden?,0.9886783
1,40370,In welcher deutschen Stadt wird der seillose Aufzug getestet?,In welcher deutschen Stadt wird der drahtlose Aufzug getestet?,0.9964268
2,40366,Wo wurde ein seilloser Aufzug entwickelt?,Wo wurde der Seillift entwickelt?,0.9934993
3,40367,Wie funktioniert ein seilloser Aufzug?,Wie funktioniert ein Seil-loser Aufzug?,0.99489117
4,40368,Wann muss man die Zieletage in seillosen Aufzügen auswählen? ,Wann müssen Sie die Zieldaten in drahtlosen Aufzügen auswählen?,0.9891373
5,40372,Was wird in Sichuan angebaut?,Was wird in Sichuan angebaut?,1.0000001
6,40373,Welches für den Export bestimmte Produkt wird in Sichuan produziert?,Welches Ausfuhrprodukt wird in Sichuan hergestellt?,0.99365944
7,40374,Was wird in den Gebirgen von Sichuan gezüchtet?,Was wächst in den Sichuan-Bergen?,0.9620152
8,40375,Welche tierische Produkte werden in Sichuan produziert?,Welche tierischen Erzeugnisse werden in Sichuan hergestellt?,0.99671346
9,40376,"Was passiert, wenn die Polarisation einer Empfangs- und Sendeantenne nicht übereinstimmen?","Was passiert, wenn die Polarisation einer Empfangs- und einer Sendeantenne nicht übereinstimmt?",0.9984562
10,40377,Was wird von Antennen abgestrahlt?,Was wird durch die Antennen übertragen?,0.9863988
11,40378,Wie bewegt sich der elektrische Feldvektor einer Antenne?,Wie bewegt sich der elektrische Feldvektor einer Antenne?,1.0000001
12,40379,Was ist eine Wendelantenne?,Was ist eine Rotationsantenne?,0.9915973
13,40436,Was ist das Hauptziel von Softwaretest?,Was ist der Hauptzweck des Software-Tests?,0.9928205
14,40437,Wozu tragen die Ergebnisse von Softwaretests bei?,Welchen Beitrag leisten die Ergebnisse der Software-Tests?,0.98843706
15,40477,Warum konnte man die Tuberkulose bis zum 19. Jahrhundert von anderen ähnlichen Krankheiten nicht unterscheiden?,Warum wurde Tuberkulose erst im 19. Jahrhundert von anderen ähnlichen Krankheiten unterschieden?,0.98956025
